"number","conc","knot","neg","pick"
1,1,0,0,1
2,2,0,0,1
3,3,3,1,1
4,3,4,1,1
5,1,0,0,1
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,3,13,1,1
11,3,11,1,1
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
