"number","conc","knot","neg","pick"
1,1,0,0,1
2,1,0,0,1
3,2,0,0,1
4,2,0,0,1
5,1,0,0,1
6,2,0,0,1
7,1,0,0,1
8,3,14,0,1
9,3,5,1,1
10,3,1,1,1
11,3,2,1,1
12,3,3,1,1
13,3,1,0,1
14,3,20,1,1
15,3,2,1,1
