"number","conc","knot","neg","pick"
1,2,0,0,1
2,1,0,0,1
3,1,0,0,1
4,2,0,0,1
5,3,3,1,1
6,1,0,0,1
7,1,0,0,1
8,3,4,1,1
9,3,13,1,1
10,0,0,0,0
11,0,0,0,0
12,3,6,1,1
13,3,14,0,1
14,3,1,1,1
15,3,12,1,1
