"number","conc","knot","neg","pick"
1,2,0,0,1
2,2,0,0,1
3,1,0,0,1
4,3,1,0,1
5,3,20,0,1
6,3,2,0,1
7,3,4,1,1
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
