"number","conc","knot","neg","pick"
1,1,0,0,1
2,2,0,0,1
3,1,0,0,1
4,3,7,1,1
5,2,0,0,1
6,3,1,1,1
7,3,2,1,1
8,0,0,0,0
9,0,0,0,0
10,3,5,1,1
11,3,15,1,1
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
