"number","conc","knot","neg","pick"
1,1,0,0,1
2,2,0,0,1
3,3,3,1,1
4,1,0,0,1
5,3,4,1,1
6,0,0,0,0
7,0,0,0,0
8,3,13,1,1
9,3,11,1,1
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
